
213it [02:22,  2.08it/s]
214it [02:22,  2.03it/s]
215it [02:23,  2.06it/s]
216it [02:23,  2.14it/s]
217it [02:24,  2.08it/s]
218it [02:24,  2.02it/s]
219it [02:25,  2.00it/s]
220it [02:25,  2.08it/s]
221it [02:26,  2.07it/s]
222it [02:26,  1.99it/s]
223it [02:27,  2.00it/s]
224it [02:27,  2.06it/s]
225it [02:28,  2.02it/s]
226it [02:28,  2.01it/s]
227it [02:29,  2.04it/s]
228it [02:29,  2.05it/s]
229it [02:30,  1.99it/s]
230it [02:30,  2.00it/s]
231it [02:31,  2.04it/s]
232it [02:31,  2.02it/s]
233it [02:32,  1.97it/s]
234it [02:32,  2.06it/s]
235it [02:33,  2.18it/s]
236it [02:33,  2.15it/s]
237it [02:33,  2.14it/s]
238it [02:34,  2.17it/s]
239it [02:34,  2.23it/s]
240it [02:35,  2.23it/s]
241it [02:35,  2.19it/s]
242it [02:36,  2.19it/s]
243it [02:36,  2.25it/s]
244it [02:37,  2.26it/s]
245it [02:37,  2.26it/s]
246it [02:38,  2.20it/s]
247it [02:38,  2.21it/s]
248it [02:38,  2.31it/s]
249it [02:39,  2.25it/s]
250it [02:39,  2.22it/s]
251it [02:40,  2.18it/s]
252it [02:40,  2.19it/s]
253it [02:41,  2.22it/s]
254it [02:41,  2.25it/s]
255it [02:42,  2.24it/s]
256it [02:42,  2.18it/s]
257it [02:42,  2.21it/s]
258it [02:43,  2.25it/s]
259it [02:43,  2.17it/s]
260it [02:44,  2.19it/s]
261it [02:44,  2.19it/s]
262it [02:45,  2.21it/s]
263it [02:45,  2.23it/s]
264it [02:46,  2.21it/s]
265it [02:46,  2.27it/s]
266it [02:47,  2.21it/s]
267it [02:47,  2.22it/s]
268it [02:47,  2.23it/s]
269it [02:48,  2.21it/s]
270it [02:48,  2.22it/s]
271it [02:49,  2.23it/s]
272it [02:49,  2.22it/s]
273it [02:50,  2.21it/s]
274it [02:50,  2.23it/s]
275it [02:51,  2.22it/s]
276it [02:51,  2.30it/s]
277it [02:51,  2.24it/s]
278it [02:52,  2.21it/s]
279it [02:52,  2.16it/s]
280it [02:53,  2.17it/s]
281it [02:53,  2.19it/s]
282it [02:54,  2.21it/s]
283it [02:54,  2.22it/s]
284it [02:55,  2.23it/s]
285it [02:55,  2.24it/s]
286it [02:55,  2.28it/s]
287it [02:56,  2.27it/s]
288it [02:56,  2.16it/s]
289it [02:57,  2.19it/s]
290it [02:57,  2.23it/s]
291it [02:58,  2.14it/s]
292it [02:58,  2.23it/s]
293it [02:59,  2.26it/s]
294it [02:59,  2.22it/s]
295it [03:00,  2.23it/s]
296it [03:00,  2.19it/s]
297it [03:01,  2.10it/s]
298it [03:01,  2.21it/s]
299it [03:02,  2.09it/s]
300it [03:02,  2.03it/s]
301it [03:03,  1.90it/s]
302it [03:03,  1.90it/s]
303it [03:04,  1.89it/s]
304it [03:04,  1.91it/s]
305it [03:05,  1.90it/s]
306it [03:05,  1.81it/s]
307it [03:06,  1.87it/s]
308it [03:06,  1.96it/s]
309it [03:07,  2.02it/s]
310it [03:07,  2.00it/s]
311it [03:08,  1.93it/s]
312it [03:08,  1.87it/s]
313it [03:09,  1.84it/s]
314it [03:10,  1.80it/s]
315it [03:10,  1.58it/s]
316it [03:11,  1.45it/s]
317it [03:12,  1.38it/s]
318it [03:13,  1.37it/s]
319it [03:13,  1.37it/s]
320it [03:14,  1.38it/s]
321it [03:15,  1.25it/s]
322it [03:16,  1.17it/s]
323it [03:17,  1.16it/s]
324it [03:18,  1.07it/s]
325it [03:19,  1.13it/s]
326it [03:20,  1.17it/s]
327it [03:21,  1.18it/s]
328it [03:21,  1.15it/s]
329it [03:22,  1.21it/s]
330it [03:23,  1.29it/s]
331it [03:24,  1.25it/s]
332it [03:24,  1.32it/s]
333it [03:25,  1.37it/s]
334it [03:26,  1.29it/s]
335it [03:27,  1.27it/s]
336it [03:27,  1.36it/s]
337it [03:28,  1.35it/s]
338it [03:29,  1.37it/s]
339it [03:29,  1.41it/s]
340it [03:30,  1.41it/s]
341it [03:31,  1.43it/s]
342it [03:32,  1.40it/s]
343it [03:32,  1.40it/s]
344it [03:33,  1.38it/s]
345it [03:34,  1.37it/s]
346it [03:34,  1.38it/s]
347it [03:35,  1.45it/s]
348it [03:36,  1.45it/s]
349it [03:37,  1.37it/s]
350it [03:37,  1.45it/s]
351it [03:38,  1.45it/s]
352it [03:38,  1.55it/s]
353it [03:39,  1.51it/s]
354it [03:40,  1.46it/s]
355it [03:41,  1.41it/s]
356it [03:41,  1.36it/s]
357it [03:42,  1.37it/s]
358it [03:43,  1.44it/s]
359it [03:44,  1.37it/s]
360it [03:44,  1.40it/s]
361it [03:45,  1.40it/s]
362it [03:46,  1.37it/s]
363it [03:46,  1.37it/s]
364it [03:47,  1.38it/s]
365it [03:48,  1.32it/s]
366it [03:49,  1.35it/s]
367it [03:49,  1.39it/s]
368it [03:50,  1.37it/s]
369it [03:51,  1.32it/s]
370it [03:52,  1.34it/s]
371it [03:53,  1.29it/s]
372it [03:53,  1.35it/s]
373it [03:54,  1.38it/s]
374it [03:55,  1.40it/s]
375it [03:55,  1.39it/s]
376it [03:56,  1.39it/s]
377it [03:57,  1.40it/s]
378it [03:57,  1.45it/s]
379it [03:58,  1.44it/s]
380it [03:59,  1.39it/s]
381it [04:00,  1.35it/s]
382it [04:00,  1.37it/s]
383it [04:01,  1.38it/s]
384it [04:02,  1.38it/s]
385it [04:02,  1.44it/s]
386it [04:03,  1.48it/s]
387it [04:04,  1.47it/s]
388it [04:04,  1.43it/s]
389it [04:05,  1.47it/s]
390it [04:06,  1.47it/s]
391it [04:07,  1.43it/s]
392it [04:07,  1.52it/s]
393it [04:08,  1.44it/s]
394it [04:08,  1.49it/s]
395it [04:09,  1.54it/s]
396it [04:10,  1.54it/s]
397it [04:10,  1.53it/s]
398it [04:11,  1.62it/s]
399it [04:12,  1.62it/s]
400it [04:12,  1.67it/s]
401it [04:13,  1.61it/s]
402it [04:13,  1.62it/s]
403it [04:14,  1.67it/s]
